step,israeli_tanks,egyptian_tanks,israeli_infantry,egyptian_infantry,bridgehead_zone_israeli,bridgehead_zone_egyptian,chinese_farm_israeli,chinese_farm_egyptian,run,group
,68.0,84.0,95.0,91.0,64.0,1225.0,7.0,1807.0,0,0
,69.0,81.0,95.0,83.0,61.0,1233.0,9.0,1825.0,0,0
,70.0,81.0,89.0,78.0,57.0,1237.0,10.0,1836.0,0,0
,71.0,76.0,83.0,73.0,57.0,1241.0,14.0,1843.0,0,0
,72.0,70.0,81.0,72.0,57.0,1245.0,14.0,1853.0,0,0
,73.0,68.0,75.0,66.0,54.0,1250.0,13.0,1867.0,0,0
,74.0,64.0,70.0,62.0,53.0,1256.0,14.0,1876.0,0,0
,75.0,56.0,66.0,60.0,49.0,1261.0,15.0,1885.0,0,0
,76.0,55.0,63.0,55.0,48.0,1264.0,17.0,1894.0,0,0
,77.0,53.0,61.0,52.0,45.0,1266.0,18.0,1902.0,0,0
,78.0,51.0,58.0,48.0,45.0,1266.0,19.0,1910.0,0,0
,79.0,50.0,56.0,44.0,45.0,1264.0,22.0,1914.0,0,0
,80.0,48.0,52.0,36.0,44.0,1263.0,24.0,1913.0,0,0
,81.0,48.0,51.0,35.0,43.0,1261.0,27.0,1914.0,0,0
,82.0,46.0,51.0,33.0,43.0,1264.0,26.0,1918.0,0,0
,83.0,45.0,44.0,28.0,43.0,1263.0,27.0,1917.0,0,0
,84.0,45.0,43.0,26.0,41.0,1264.0,29.0,1921.0,0,0
,85.0,42.0,40.0,26.0,41.0,1265.0,31.0,1923.0,0,0
,86.0,42.0,40.0,24.0,41.0,1265.0,32.0,1923.0,0,0
,87.0,41.0,40.0,24.0,40.0,1265.0,34.0,1928.0,0,0
,88.0,39.0,39.0,20.0,38.0,1264.0,36.0,1928.0,0,0
,89.0,37.0,36.0,19.0,38.0,1261.0,40.0,1928.0,0,0
,90.0,37.0,35.0,17.0,37.0,1261.0,42.0,1928.0,0,0
,91.0,36.0,34.0,17.0,36.0,1261.0,44.0,1934.0,0,0
,92.0,35.0,34.0,16.0,36.0,1261.0,44.0,1934.0,0,0
,93.0,35.0,34.0,13.0,36.0,1261.0,44.0,1934.0,0,0
,94.0,33.0,34.0,11.0,35.0,1264.0,45.0,1937.0,0,0
,95.0,32.0,32.0,11.0,34.0,1264.0,46.0,1937.0,0,0
,96.0,26.0,31.0,11.0,34.0,1262.0,48.0,1934.0,0,0
,97.0,26.0,31.0,11.0,33.0,1260.0,50.0,1933.0,0,0
,98.0,26.0,31.0,10.0,33.0,1259.0,53.0,1937.0,0,0
,99.0,24.0,31.0,9.0,33.0,1260.0,54.0,1942.0,0,0
,100.0,22.0,31.0,9.0,32.0,1260.0,56.0,1942.0,0,0
,101.0,21.0,31.0,8.0,32.0,1259.0,58.0,1942.0,0,0
,102.0,19.0,30.0,8.0,31.0,1260.0,58.0,1943.0,0,0
,103.0,18.0,30.0,8.0,31.0,1259.0,60.0,1943.0,0,0
,104.0,18.0,30.0,7.0,31.0,1258.0,61.0,1945.0,0,0
,105.0,18.0,30.0,6.0,31.0,1256.0,64.0,1943.0,0,0
,106.0,18.0,30.0,5.0,31.0,1253.0,67.0,1940.0,0,0
,107.0,18.0,30.0,3.0,31.0,1252.0,68.0,1938.0,0,0
,108.0,18.0,29.0,3.0,31.0,1252.0,70.0,1939.0,0,0
,109.0,17.0,28.0,3.0,31.0,1252.0,70.0,1939.0,0,0
,110.0,17.0,28.0,2.0,29.0,1252.0,70.0,1939.0,0,0
,111.0,17.0,28.0,2.0,29.0,1254.0,70.0,1939.0,0,0
,112.0,17.0,28.0,2.0,29.0,1255.0,70.0,1939.0,0,0
,113.0,16.0,28.0,2.0,28.0,1258.0,71.0,1942.0,0,0
,114.0,16.0,28.0,2.0,28.0,1258.0,72.0,1943.0,0,0
,115.0,15.0,27.0,2.0,27.0,1258.0,73.0,1945.0,0,0
,116.0,14.0,26.0,2.0,26.0,1258.0,75.0,1947.0,0,0
,117.0,13.0,26.0,2.0,24.0,1259.0,75.0,1949.0,0,0
,118.0,13.0,24.0,2.0,24.0,1261.0,74.0,1951.0,0,0
,119.0,13.0,24.0,2.0,23.0,1260.0,75.0,1951.0,0,0
,120.0,13.0,23.0,2.0,22.0,1260.0,75.0,1952.0,0,0
,121.0,13.0,22.0,2.0,22.0,1259.0,76.0,1953.0,0,0
,122.0,13.0,19.0,1.0,22.0,1262.0,75.0,1959.0,0,0
,123.0,13.0,16.0,1.0,21.0,1263.0,75.0,1962.0,0,0
,124.0,13.0,10.0,1.0,20.0,1265.0,73.0,1966.0,0,0
,125.0,12.0,8.0,1.0,20.0,1265.0,73.0,1967.0,0,0
,126.0,11.0,7.0,1.0,18.0,1265.0,73.0,1968.0,0,0
